id,name,label,label-tagalog,hint,hint-tagalog
sectionA,A01,1. Family income has returned to pre-Yolanda levels.,1. Ang kita ba ng pamilya ay nanumbalik ba agad makalipas ang pananalasa ng bagyong Yolanda.,none,none
sectionA,A02,2. Family income is greater than pre-Yolanda levels.,2. Mas higit  ba ang kita ng pamilya makalipas ang bagyong Yolanda.,none,none
sectionA,A03,3. House damages due to Yolanda have been repaired.,3. Ang mga parteng nasira ba sa inyong tahanan ay naisaayos ba agad.,(if no damage please answer N/A),"(kung walang nasira sa tahanan, lagyan ng tsek ang N/A)"
sectionA,A04,4. Debts incurred due to Yolanda have been repaid.,4.  Ang mga pagkakautang ba ng pamilya sanhi ng bagyong Yolanda ay nabayaran na ng pamilya.,"(debts to pay medical expenses, household repairs, etc. directly related to Yolanda, if none please answer N/A)","(pangangailangang medikal, pang repair ng tahanan, atbp., kung walng pagkakautang dahil sa bagyong Yolanda, lagyan ng tsek ang N/A)"
sectionA,A05,5. My household has recovered from Typhoon Yolanda.,5. Ang aking pamilya ay nakabangon na mula sa pananalasa ng bagyong yolanda.,none,none
sectionA,A06,6. My family has received adequate assistance to recover from Yolanda.,6. Ang aking pamilya ay nakatanggap ng sapat na tulong.,none,none
sectionA,A07,7. My community has received adequate assistance to recover from Yolanda.,7. Ang aming komunidad ay nakatangap ng sapat na tulong.,none,none
sectionA,A08,8. The Red Cross listens to the needs expressed by the community when providing assistance.,8. Pinakikinggan ng Red Cross ang mga hinaing ng komunidad tuwing sila'y namamahagi ng kanilang tulong. ,none,none
sectionA,A09,9. Other organizations listen to the needs expressed by the community when providing assistance.,9. Pinakikinggan ng ibang Organisasyon ang mga hinaing ng komunidad tuwing sila'y namamahagi ng kanilang tulong. ,"(other organizations include churches, NGOs, etc., if none assisted please answer N/A)","(simbahan, iba't ibang organisasyon, atbp., kung wala, lagyan ng tsek ang N/A)"
sectionA,A10,10. The government listens to the needs expressed by the community when providing assistance.,10. Pinakikinggan ng pamahalaan ang mga hinaing ng komunidad tuwing sila'y namamahagi ng kanilang tulong.,(if no government assistance please answer N/A),(kung walang tulong na natangagap lagyan mula sa pamahalaan lagyan ng tsek ang N/A)
sectionB,B11,11. I am able to attend community events when they occur.,11. Nakakadalo ba kayo sa mga pagtitipon sa inyong komunidad.,none,none
sectionB,B12,12. I am satisfied with the number of occurring community events I am able to attend.,12. Kayo po ba ay nasiyahan sa bilang ng pagtitipon na inyong nadaluhan sa inyong komunidad.,none,none
sectionB,B13,13. I actively contribute to the organization and management of community events.,13. Ako'y aktibong nag-aambagsa pamamahala ng mga pagtitipon sa komunidad.,none,none
sectionB,B14,14. I am happy with my level of contribution to the organization and management of community events.,14. Ako'y nasisiyahan sa aking ambag sa pamamahala ng mga pagtitipon sa komunidad.,none,none
sectionC,C15,15. I am able to attend family and social events when they occur.,15. Nakakadalo ba kayo sa mga pagtitipon ng inyong  pamilya.,none,none
sectionC,C16,16. I am satisfied with the number of family events I am able to attend.,16. Kayo po ba ay nasiyahan sa bilang ng pagtitipon na inyong nadaluhan sa inyong pamilya.,none,none
sectionC,C17,17. I am able to host family and social events.,17. Ang aking pamilya ay may kakayanang magdaos ng pagtitipon.,"(birthday, fiesta, christening, etc.)","(kaarawan, pyesta, binyagan, atbp.)"
sectionC,C18,18. I am happy with the number of family and social events I am able to host.,18. Ako'y nasisiyahan sa bilang ng pagtitipon na naidaos ng aming pamilya.,"(birthday, fiesta, christening, etc.)","(kaarawan, pyesta, binyagan, atbp.)"
sectionC,C19,19. I actively contribute to the organization and management of others' family and social events.,19. Ako'y aktibong nag-aambag sa pamamahala ng mga pagtitipon sa aming pamilya.,none,none
sectionC,C20,20. I am happy with my level of contribution to the organization and management of others' family and social events.,20. Ako'y nasisiyahan sa lebel ng aking ambag sa pamamahala ng mga pagtitipon sa aking pamilya.,none,none
sectionD,D21,21. Family income adequately covers expenses related to FOOD.,21. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailang sa PAGKAIN.,none,none
sectionD,D22,22. Family income adequately covers expenses related to COMMUNICATION. ,22. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailang sa KOMUNIKASYON.,"(cell phone load, internet cafe, etc.)","(load sa cellphone, pang-internet, atbp.)"
sectionD,D23,23. Family income adequately covers expenses related to UTILITY BILLS. ,23. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailang sa TAHANAN. ,"(electricity, water, garbage removal, etc.)","(bill ng kuryente, tubig, cable, atbp.)"
sectionD,D24,24. Family income adequately covers expenses related to COMMON MEDICAL.,24. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailang  MEDIKAL ng pamilya.,"(check-ups, occasional minor illnesses/ailments, etc., NOT including major emergency services)","(pagkonsulta sa doktor, gamot sa ubo, lagnat, atbp., maliban sa operasyo, at malubhang karamdaman)"
sectionD,D25,25. Family income adequately covers expenses related to SCHOOLING.,25. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailang sa EDUKASYON ng mga anak. ,(if no children please answer N/A),"(kung wala ng anak na nag aaral, lagyan ng tsek ang N/A)"
sectionD,D26,26. Family income adequately covers expenses related to HOUSE MAINTENANCE.,26. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailang sa PAGKUKUMPUNI ng mga sira sa tahanan.,"(light bulbs, minor repairs/improvements, etc., NOT including major additions or recovery from disasters such as typhoon, flood, fire, earthquake)","(pambili ng bumbilya, maliitang pagsasaayos, atbp., hindi kasama ang malakihang pagsasaayos)"
sectionD,D27,27. Family income adequately covers expenses related to DEBT PAYMENTS.,27. Sapat ba ang kita ng pamilya para matustusan ang mga PAGKAKAUTANG ng pamilya.,(if no debt please answer N/A),"(kung walang pagkakautang, lagyan ng tsek ang N/A)"
sectionD,D28,28. Family income adequately covers expense related to CURRENT LIVELIHOOD INPUTS.,28. Sapat ba ang kita ng pamilya para matustusan ang mga pangangailangan ng KASALUKUYANG HANAPBUHAY.,"(transportation to a job, trade tools, seeds, animal feed, store stocks, etc.)","(mga kagamitang panghanapbuhay, pagkain ng mga alagang hayop, binhi, atbp.)"
sectionE,E29,29. People in this community are able to get the basic HEALTH services they need. ,29. Madaling makatanggap ng baisc HEALTH services ang mga mamamayan sa komunidad. ,"(medical, etc.)","(serbisyong medikal, atbp.)"
sectionE,E30,30. People in this community are able to access the FINANCIAL services they need. ,30. Madaling maka-access ng PINANSYAL na serbisyoa ang mga mamamayan sa komunidad.,"(bank, micro-finance, loans)","(bangko, microfinance, pautang)"
sectionE,E31,31. This community has hope about the future.,31. Ang komunidad ay may nakikitang pag-asa sa kinabukasan.,none,none
sectionE,E32,32. People in this community help each other. ,32. Nagtutulungan ang mga mamamayan sa komunidad. ,none,none
sectionE,E33,33. This community has effective leaders.,33. Ang komunidad ay may mga epektibong namumuno.,none,none
sectionE,E34,34. This community works with organizations and agencies outside the community to get things done. ,34. Ang komunidad ay nakikipagtulungan sa ibang organisasyon o ahensya para matapos ang isang proyekto. ,none,none
sectionE,E35,35. This community has the resources it needs to take care of community problems. ,35. Ang aming komunidad ay may kakayanang matugunan ang mga suliranin ng pamayanan.,"(resources include money, information, technology, tools, raw materials, and services)","(serbisyo, tulong pinansyal, teknolohiya, inpormasyon, atbp.)"
sectionE,E36,36. This community looks at its successes and failures so it can learn from the past. ,36. May mga naganap na bang pagkatataon na na-consider ang  mga hindi maganda at magagandang kaganapan dati at ginagamit ang mga natututunan sa pagdedesisyon sa hinaharap. ,none,none
sectionE,E37,"37. This community has priorities and sets goals for the future. 
",37. Ang komunidad ay may priyoridad at magandang layunin para sa kinabukasan.,none,none
sectionE,E38,38. People in this community work together to improve the community. ,38. Ang mga mamamayan sa komunidad ay nagtutulungan para mapabuti ang komunidad. ,none,none
